Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
city,2015,10.50,11.60,26000,Petrol,Dealer,Manual,0
s-cross,2017,12.90,13.14,20000,Diesel,Dealer,Manual,0
city,2013,8.70,11.60,50000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,30000,Petrol,Dealer,Manual,0
fortuner,2015,24.75,30.65,40000,Diesel,Dealer,Automatic,0
jazz,2015,5.00,8.03,68000,Petrol,Dealer,Manual,0
verna,2017,12.00,15.06,14000,Petrol,Dealer,Manual,0
innova,2007,7.00,17.80,120000,Diesel,Dealer,Manual,0
corolla altis,2013,10.00,15.70,65000,Petrol,Dealer,Manual,0
fortuner,2018,28.00,30.65,3000,Diesel,Dealer,Automatic,0
alto,2014,2.00,3.46,45000,Petrol,Dealer,Manual,0
verna,2014,10.00,15.06,21000,Petrol,Dealer,Manual,0
ritz,2013,2.75,5.59,40000,Petrol,Dealer,Manual,0
alto 800,2014,1.50,3.26,27000,Petrol,Dealer,Manual,0
corolla altis,2010,8.00,15.70,70000,Petrol,Dealer,Manual,0
corolla altis,2008,6.50,15.70,81000,Petrol,Dealer,Manual,0
corolla altis,2012,9.50,15.70,37000,Petrol,Dealer,Manual,0
corolla altis,2011,8.50,15.70,57000,Petrol,Dealer,Manual,0
corolla altis,2016,14.50,15.70,5000,Petrol,Dealer,Manual,0
fortuner,2013,24.50,36.23,30000,Diesel,Dealer,Automatic,0
innova,2013,12.00,17.80,60000,Diesel,Dealer,Manual,0
s-cross,2017,14.00,13.14,2000,Diesel,Dealer,Manual,0
brio,2016,4.00,5.90,10000,Petrol,Dealer,Manual,0
verna,2011,7.00,15.06,70000,Petrol,Dealer,Manual,0
city,2009,5.50,11.60,55000,Petrol,Dealer,Manual,0
city,2013,9.00,11.60,42000,Petrol,Dealer,Manual,0
verna,2016,12.00,16.45,15000,Petrol,Dealer,Manual,0
corolla altis,2015,17.00,18.03,24000,Diesel,Dealer,Manual,0
city,2014,10.70,11.60,30000,Petrol,Dealer,Manual,0
verna,2016,11.00,16.45,19000,Petrol,Dealer,Manual,0
innova,2016,17.50,17.80,20000,Diesel,Dealer,Manual,0
corolla altis,2014,13.50,17.47,25000,Diesel,Dealer,Manual,0
verna,2018,13.75,13.00,1000,Petrol,Dealer,Manual,0
brio,2015,4.30,5.90,33500,Petrol,Dealer,Manual,0
innova,2015,15.50,17.80,28000,Diesel,Dealer,Manual,0
city,2017,12.50,11.60,15000,Petrol,Dealer,Manual,0
city,2016,12.00,12.89,24000,Diesel,Dealer,Manual,0
swift,2017,5.00,6.87,4000,Petrol,Dealer,Manual,0
brio,2015,4.50,5.90,19000,Petrol,Dealer,Manual,0
innova,2014,12.50,17.80,45000,Diesel,Dealer,Manual,0
corolla altis,2012,9.75,15.70,58000,Petrol,Dealer,Manual,0
ciaz,2017,9.75,9.85,4000,Petrol,Dealer,Manual,0
innova,2016,18.00,17.80,8000,Diesel,Dealer,Manual,0
city,2012,8.50,11.60,36300,Petrol,Dealer,Manual,0
city,2014,11.00,12.89,24000,Diesel,Dealer,Manual,0
innova,2015,14.50,17.80,36000,Diesel,Dealer,Manual,0
fortuner,2017,27.50,30.65,9000,Diesel,Dealer,Manual,0
corolla altis,2016,18.00,18.03,8500,Diesel,Dealer,Manual,0
city,2011,7.50,11.60,70000,Petrol,Dealer,Manual,0
city,2010,6.00,11.60,88000,Petrol,Dealer,Manual,0
s-cross,2015,9.40,11.94,26800,Diesel,Dealer,Manual,0
city,2011,7.90,11.60,62000,Petrol,Dealer,Manual,0
city,2013,9.50,11.60,35000,Petrol,Dealer,Manual,0
innova,2012,12.00,17.80,61000,Diesel,Dealer,Manual,0
innova,2016,20.00,17.80,10000,Diesel,Dealer,Automatic,0
ciaz,2016,8.25,9.85,40000,Petrol,Dealer,Manual,0
innova,2013,13.00,17.80,50000,Diesel,Dealer,Manual,0
brio,2016,4.75,5.90,8000,Petrol,Dealer,Manual,0
city,2014,9.00,11.60,44000,Petrol,Dealer,Manual,0
innova,2017,19.00,17.80,11000,Diesel,Dealer,Manual,0
innova,2015,14.00,17.80,38000,Diesel,Dealer,Manual,0
innova,2012,9.50,17.80,97000,Diesel,Dealer,Manual,0
innova,2014,13.00,17.80,51000,Diesel,Dealer,Manual,0
fortuner,2010,16.00,36.23,60000,Diesel,Dealer,Manual,0
city,2016,9.50,11.60,33988,Diesel,Dealer,Manual,0
brio,2015,4.00,5.90,60000,Petrol,Dealer,Manual,0
city,2009,3.35,11.00,87934,Petrol,Dealer,Manual,0
city,2017,11.50,12.50,9000,Diesel,Dealer,Manual,0
brio,2016,5.30,5.90,5464,Petrol,Dealer,Manual,0
wagon r,2013,2.00,4.15,55000,Petrol,Individual,Manual,0
swift,2010,2.50,6.87,42000,Petrol,Individual,Manual,0
alto,2015,1.00,3.46,70000,Petrol,Individual,Manual,0
ritz,2012,2.50,5.59,45000,Petrol,Individual,Manual,0
wagon r,2016,3.00,5.48,15000,Petrol,Individual,Manual,0
swift,2014,3.50,6.87,35000,Petrol,Individual,Manual,0
alto 800,2013,1.60,3.26,45000,Petrol,Individual,Manual,0
ertiga,2016,5.50,8.66,21000,Petrol,Individual,Manual,0
swift,2016,4.50,6.87,25000,Petrol,Individual,Manual,0
wagon r,2011,2.00,4.15,60000,Petrol,Individual,Manual,0
swift,2013,3.75,6.87,38000,Petrol,Individual,Manual,0
alto 800,2015,2.00,3.26,18000,Petrol,Individual,Manual,0
i20,2015,5.50,7.88,45000,Petrol,Individual,Manual,0
i20,2016,6.50,8.36,22000,Petrol,Individual,Manual,0
baleno,2017,6.20,6.84,15000,Petrol,Individual,Manual,0
wagon r,2009,1.20,4.15,85000,Petrol,Individual,Manual,0
ertiga,2014,5.00,9.84,60000,Petrol,Individual,Manual,0
i20,2014,5.00,7.88,60000,Petrol,Individual,Manual,0
ritz,2016,4.00,5.59,20000,Petrol,Individual,Manual,0
wagon r,2014,2.85,5.48,40000,Petrol,Individual,Manual,0
swift,2015,4.20,6.87,30000,Petrol,Individual,Manual,0
i20,2016,6.00,8.36,17000,Petrol,Individual,Manual,0
alto 800,2016,2.50,3.26,12000,Petrol,Individual,Manual,0
wagon r,2013,2.50,4.15,50000,Petrol,Individual,Manual,0
swift,2012,3.25,6.87,46000,Petrol,Individual,Manual,0
celerio,2016,3.50,5.24,28000,Petrol,Individual,Manual,0
swift,2011,2.85,6.87,53000,Petrol,Individual,Manual,0
i20,2013,4.50,7.88,55000,Petrol,Individual,Manual,0
swift,2017,5.50,6.87,16000,Petrol,Individual,Manual,0
alto 800,2017,2.85,3.26,5000,Petrol,Individual,Manual,0
ritz,2014,3.50,5.59,32000,Petrol,Individual,Manual,0
wagon r,2010,1.80,4.15,67000,Petrol,Individual,Manual,0
i20,2012,4.00,7.88,70000,Petrol,Individual,Manual,0
celerio,2015,3.00,5.24,38000,Petrol,Individual,Manual,0
ritz,2013,3.00,5.59,50000,Petrol,Individual,Manual,0
swift,2016,5.00,6.87,22000,Petrol,Individual,Manual,0
baleno,2018,6.90,7.45,8000,Petrol,Individual,Manual,0
alto 800,2013,1.80,3.26,56000,Petrol,Individual,Manual,0
wagon r,2015,3.00,5.48,33000,Petrol,Individual,Manual,0
alto 800,2016,2.00,3.26,22000,Petrol,Individual,Manual,0
i20,2017,7.00,8.36,12000,Petrol,Individual,Manual,0
swift,2014,3.85,6.87,40000,Petrol,Individual,Manual,0
i20,2015,5.75,8.36,35000,Petrol,Individual,Manual,0
swift,2013,3.50,6.87,42000,Petrol,Individual,Manual,0
ritz,2015,3.90,5.59,28000,Petrol,Individual,Manual,0
celerio,2017,4.00,5.24,18000,Petrol,Individual,Manual,0
i20,2018,7.50,8.36,6000,Petrol,Individual,Manual,0
wagon r,2012,2.20,4.15,57000,Petrol,Individual,Manual,0
baleno,2017,6.50,7.45,18000,Petrol,Individual,Manual,0
swift,2015,4.50,6.87,28000,Petrol,Individual,Manual,0
alto 800,2015,1.75,3.26,30000,Petrol,Individual,Manual,0
ritz,2012,2.80,5.59,52000,Petrol,Individual,Manual,0
wagon r,2016,3.50,5.48,20000,Petrol,Individual,Manual,0
i20,2014,4.75,7.88,52000,Petrol,Individual,Manual,0
swift,2016,4.80,6.87,26000,Petrol,Individual,Manual,0
celerio,2016,3.75,5.24,24000,Petrol,Individual,Manual,0
sx4,2011,3.00,9.54,68000,Petrol,Individual,Manual,0
alto 800,2014,1.90,3.26,40000,Petrol,Individual,Manual,0
wagon r,2014,2.70,5.48,48000,Petrol,Individual,Manual,0
i20,2016,5.80,8.36,28000,Petrol,Individual,Manual,0
swift,2014,3.25,6.87,50000,Petrol,Individual,Manual,0
celerio,2015,2.75,5.24,44000,Petrol,Individual,Manual,0
ritz,2016,3.80,5.59,24000,Petrol,Individual,Manual,0
wagon r,2013,2.30,4.15,58000,Petrol,Individual,Manual,0
i20,2015,5.25,7.88,40000,Petrol,Individual,Manual,0
swift,2013,3.00,6.87,48000,Petrol,Individual,Manual,0
alto 800,2016,2.20,3.26,16000,Petrol,Individual,Manual,0
baleno,2016,5.80,7.45,30000,Petrol,Individual,Manual,0
ertiga,2015,5.20,8.66,35000,Petrol,Individual,Manual,0
swift,2015,4.10,6.87,32000,Petrol,Individual,Manual,0
i20,2013,4.20,7.88,64000,Petrol,Individual,Manual,0
wagon r,2011,1.90,4.15,72000,Petrol,Individual,Manual,0
alto 800,2017,2.70,3.26,8000,Petrol,Individual,Manual,0
i20,2016,6.20,8.36,19000,Petrol,Individual,Manual,0
swift,2012,2.95,6.87,55000,Petrol,Individual,Manual,0
celerio,2014,2.50,5.24,50000,Petrol,Individual,Manual,0
ritz,2011,2.40,5.59,65000,Petrol,Individual,Manual,0
wagon r,2015,2.80,5.48,38000,Petrol,Individual,Manual,0
i20,2014,4.60,7.88,56000,Petrol,Individual,Manual,0
swift,2016,4.60,6.87,24000,Petrol,Individual,Manual,0
celerio,2016,3.60,5.24,26000,Petrol,Individual,Manual,0
sx4,2010,2.50,9.54,80000,Petrol,Individual,Manual,1
dzire,2013,3.50,7.00,50000,Petrol,Individual,Manual,1
swift,2012,2.75,6.87,60000,Petrol,Individual,Manual,1
wagon r,2010,1.60,4.15,75000,Petrol,Individual,Manual,1
alto 800,2012,1.20,3.26,65000,Petrol,Individual,Manual,1
i20,2013,3.75,7.88,70000,Petrol,Individual,Manual,1
ritz,2011,2.00,5.59,72000,Petrol,Individual,Manual,1
swift,2010,2.20,6.87,68000,Petrol,Individual,Manual,1
celerio,2015,2.60,5.24,42000,Petrol,Individual,Manual,1
dzire,2012,3.00,7.00,58000,Petrol,Individual,Manual,1
wagon r,2009,1.40,4.15,88000,Petrol,Individual,Manual,1
i20,2012,3.50,7.88,75000,Petrol,Individual,Manual,1
swift,2011,2.00,6.87,65000,Petrol,Individual,Manual,1
alto 800,2011,1.00,3.26,78000,Petrol,Individual,Manual,1
ritz,2010,1.80,5.59,80000,Petrol,Individual,Manual,1
dzire,2014,3.80,7.00,42000,Petrol,Individual,Manual,1
wagon r,2012,2.00,4.15,62000,Petrol,Individual,Manual,1
i20,2011,3.25,7.88,80000,Petrol,Individual,Manual,1
swift,2013,3.20,6.87,46000,Petrol,Individual,Manual,1
alto 800,2013,1.50,3.26,55000,Petrol,Individual,Manual,1
innova,2008,6.00,17.80,130000,Diesel,Individual,Manual,1
fortuner,2008,13.00,36.23,100000,Diesel,Individual,Manual,1
sx4,2012,3.50,9.54,55000,Petrol,Individual,Manual,1
jazz,2014,4.50,8.03,40000,Petrol,Individual,Manual,1
wagon r,2008,1.10,4.15,95000,Petrol,Individual,Manual,1
dzire,2015,4.20,7.00,32000,Petrol,Individual,Manual,1
i20,2014,4.25,7.88,58000,Petrol,Individual,Manual,1
swift,2012,2.80,6.87,58000,Petrol,Individual,Manual,1
sx4,2009,2.20,9.54,90000,Petrol,Individual,Manual,1
innova,2007,5.50,17.80,145000,Diesel,Individual,Manual,1
ritz,2009,1.60,5.59,90000,Petrol,Individual,Manual,1
dzire,2016,5.00,7.00,22000,Petrol,Individual,Manual,1
wagon r,2011,1.75,4.15,70000,Petrol,Individual,Manual,1
swift,2014,3.70,6.87,38000,Petrol,Individual,Manual,1
i20,2013,3.90,7.88,68000,Petrol,Individual,Manual,1
celerio,2015,2.80,5.24,40000,Petrol,Individual,Manual,1
dzire,2011,2.50,7.00,68000,Petrol,Individual,Manual,1
wagon r,2010,1.70,4.15,78000,Petrol,Individual,Manual,1
swift,2011,2.30,6.87,62000,Petrol,Individual,Manual,1
ritz,2012,2.20,5.59,60000,Petrol,Individual,Manual,1
dzire,2013,3.25,7.00,54000,Petrol,Individual,Manual,1
alto 800,2013,1.35,3.26,60000,Petrol,Individual,Manual,1
innova,2010,7.50,17.80,108000,Diesel,Individual,Manual,2
fortuner,2007,12.00,36.23,120000,Diesel,Individual,Manual,2
innova,2009,6.50,17.80,125000,Diesel,Individual,Manual,2
sx4,2008,1.80,9.54,100000,Petrol,Individual,Manual,2
wagon r,2007,0.90,4.15,110000,Petrol,Individual,Manual,2
swift,2009,1.80,6.87,80000,Petrol,Individual,Manual,2
alto 800,2010,0.80,3.26,90000,Petrol,Individual,Manual,2
innova,2011,8.00,17.80,115000,Diesel,Individual,Manual,2
fortuner,2006,11.00,36.23,140000,Diesel,Individual,Manual,2
sx4,2007,1.50,9.54,110000,Petrol,Individual,Manual,2
corolla altis,2007,5.00,15.70,110000,Petrol,Individual,Manual,2
innova,2006,5.00,17.80,150000,Diesel,Individual,Manual,2
fortuner,2009,14.00,36.23,80000,Diesel,Individual,Manual,2
sx4,2010,2.00,9.54,95000,Petrol,Individual,Manual,2
wagon r,2006,0.70,4.15,125000,Petrol,Individual,Manual,2
innova,2007,6.00,17.80,138000,Diesel,Individual,Manual,2
ertiga,2014,4.00,9.84,70000,CNG,Individual,Manual,2
innova,2008,5.50,17.80,135000,Diesel,Individual,Manual,3
fortuner,2005,10.00,36.23,160000,Diesel,Individual,Manual,3
innova,2006,4.50,17.80,155000,Diesel,Individual,Manual,3
Hero Passion Pro,2016,0.35,0.62,20000,Petrol,Individual,Manual,0
Hero Passion Pro,2015,0.20,0.62,28000,Petrol,Individual,Manual,0
Hero Passion Pro,2014,0.15,0.62,40000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,1.00,1.15,8000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2015,0.90,1.05,12000,Petrol,Individual,Manual,0
Hero Splendor Plus,2016,0.45,0.52,18000,Petrol,Individual,Manual,0
Hero Splendor Plus,2015,0.30,0.52,30000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2014,0.80,1.25,25000,Petrol,Individual,Manual,0
Honda Activa 125,2016,0.80,0.75,11000,Petrol,Individual,Manual,0
Hero Hunk,2014,0.50,0.88,32000,Petrol,Individual,Manual,0
Hero  Ignitor Disc,2015,0.25,0.70,22000,Petrol,Individual,Manual,0
Hero  CBZ Xtreme,2011,0.10,0.88,55000,Petrol,Individual,Manual,0
Bajaj  ct 100,2003,0.10,0.32,60000,Petrol,Individual,Manual,0
alto 800,2018,2.90,3.26,2000,Petrol,Dealer,Manual,0
swift,2018,6.50,6.87,5000,Petrol,Dealer,Manual,0
baleno,2018,7.20,7.45,4000,Petrol,Dealer,Manual,0
celerio,2018,4.50,5.24,3000,Petrol,Dealer,Manual,0
i20,2018,7.80,8.36,5000,Petrol,Dealer,Manual,0
wagon r,2018,4.00,5.48,3000,Petrol,Dealer,Manual,0
dzire,2018,6.50,7.00,4000,Petrol,Dealer,Manual,0
verna,2018,12.50,14.47,6000,Petrol,Dealer,Manual,0
corolla altis,2017,17.50,18.03,12000,Petrol,Dealer,Manual,0
s-cross,2018,14.50,13.14,2000,Diesel,Dealer,Manual,0
innova,2018,22.00,17.80,5000,Diesel,Dealer,Manual,0
city,2018,13.50,12.89,5000,Diesel,Dealer,Manual,0
fortuner,2018,30.00,30.65,4000,Diesel,Dealer,Automatic,0
baleno,2016,5.50,7.45,35000,Petrol,Individual,Manual,0
ertiga,2017,8.00,8.66,12000,Petrol,Individual,Manual,0
jazz,2016,6.00,8.03,30000,Petrol,Individual,Manual,0
jazz,2013,3.75,8.03,58000,Petrol,Dealer,Manual,0
innova,2017,20.00,17.80,15000,Diesel,Dealer,Automatic,0
corolla altis,2016,16.00,18.03,15000,Diesel,Dealer,Automatic,0
fortuner,2016,22.00,30.65,25000,Diesel,Dealer,Automatic,0
verna,2015,11.00,14.47,25000,Diesel,Dealer,Manual,0
city,2017,13.00,12.89,9000,Diesel,Dealer,Manual,0
s-cross,2016,11.50,11.94,40000,Diesel,Dealer,Manual,0
ciaz,2016,9.00,9.85,28000,Petrol,Dealer,Manual,0
ertiga,2013,6.00,8.66,50000,Petrol,Dealer,Manual,0
sx4,2014,4.50,9.54,38000,Diesel,Dealer,Manual,0
corolla altis,2009,7.00,15.70,90000,Petrol,Dealer,Manual,0
innova,2014,14.00,17.80,42000,Diesel,Dealer,Automatic,0
city,2016,13.00,12.89,20000,Diesel,Dealer,Manual,0
verna,2017,14.00,16.45,10000,Diesel,Dealer,Manual,0
s-cross,2017,13.50,13.14,12000,Diesel,Dealer,Manual,0
brio,2014,3.50,5.90,45000,Petrol,Dealer,Manual,0
innova,2018,25.00,17.80,3000,Diesel,Dealer,Automatic,0
city,2018,14.00,12.89,3000,Diesel,Dealer,Manual,0
verna,2018,14.50,16.45,4000,Diesel,Dealer,Manual,0
fortuner,2017,32.00,30.65,8000,Diesel,Dealer,Automatic,0
innova,2017,21.00,17.80,12000,Diesel,Dealer,Automatic,0
corolla altis,2018,22.00,18.03,3000,Diesel,Dealer,Automatic,0
s-cross,2016,10.50,11.94,48000,Diesel,Dealer,Manual,0
verna,2016,13.50,16.45,12000,Diesel,Dealer,Manual,0
corolla altis,2017,20.00,18.03,5000,Diesel,Dealer,Automatic,0
innova,2016,19.50,17.80,18000,Diesel,Dealer,Automatic,0
fortuner,2015,27.00,30.65,22000,Diesel,Dealer,Automatic,0
city,2015,12.50,12.89,16000,Diesel,Dealer,Manual,0
s-cross,2015,10.00,11.94,35000,Diesel,Dealer,Manual,0
verna,2015,12.00,16.45,20000,Diesel,Dealer,Manual,0
corolla altis,2015,16.00,18.03,22000,Diesel,Dealer,Manual,0
innova,2015,16.00,17.80,32000,Diesel,Dealer,Automatic,0
fortuner,2014,24.00,30.65,35000,Diesel,Dealer,Automatic,0
city,2014,11.50,12.89,28000,Diesel,Dealer,Manual,0
verna,2014,11.00,16.45,28000,Diesel,Dealer,Manual,0
corolla altis,2014,14.00,18.03,35000,Diesel,Dealer,Manual,0
innova,2013,11.50,17.80,65000,Diesel,Dealer,Automatic,0
fortuner,2013,22.00,30.65,45000,Diesel,Dealer,Automatic,0
city,2013,10.00,12.89,40000,Diesel,Dealer,Manual,0
verna,2013,9.50,16.45,40000,Diesel,Dealer,Manual,0
innova,2012,11.00,17.80,80000,Diesel,Dealer,Automatic,0
city,2012,9.00,12.89,55000,Diesel,Dealer,Manual,0
fortuner,2012,20.00,30.65,55000,Diesel,Dealer,Automatic,0
innova,2011,10.00,17.80,90000,Diesel,Dealer,Automatic,0
city,2010,7.00,12.89,75000,Diesel,Dealer,Manual,0
s-cross,2016,12.00,11.94,35000,Diesel,Dealer,Manual,0
